@relation smsspam-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement

@attribute class {ham,spam}
@attribute numChars numeric
@attribute containsNumSequence {0,1}
@attribute containsCurrencySymbol {0,1}
@attribute numBuzzwords numeric
@attribute percentUppercaseLetters numeric

@data
spam,181,0,0,0,0.02649
ham,61,0,0,0,0.06383
ham,157,0,0,1,0.015504
ham,32,0,0,0,0.074074
ham,136,0,0,3,0.052174
ham,89,0,0,0,0.055556
spam,144,1,1,3,0.305785
ham,40,0,0,0,0.032258
ham,28,0,0,1,0.086957
ham,139,0,0,0,0.027027
ham,36,0,0,0,0.034483
ham,54,0,0,0,0.386364
ham,156,0,0,2,0.048
ham,175,0,0,1,0.034483
spam,136,1,0,5,0.153153
ham,48,0,0,0,0.027778
spam,150,1,0,4,0.09375
spam,137,1,0,4,0.205128
ham,154,0,0,0,0.02439
ham,34,0,0,0,0
ham,5,0,0,0,0.2
ham,73,0,0,0,0.051724
ham,31,0,0,0,0.038462
ham,34,0,0,0,0.076923
ham,129,0,0,2,0.029412
ham,23,0,0,0,0.157895
ham,26,0,0,0,0.045455
ham,32,0,0,0,0.076923
ham,24,0,0,0,0.05
ham,40,0,0,0,0.060606
ham,115,0,0,0,0.034091
ham,32,0,0,0,0.08
ham,81,0,0,0,0.014925
ham,30,0,0,0,0.038462
ham,63,0,0,0,0.040816
spam,144,1,1,4,0.025424
ham,32,0,0,0,0.037037
ham,29,0,0,0,0
ham,27,0,0,0,0.090909
spam,136,1,0,5,0.153153
spam,143,1,0,2,0.04
ham,23,0,0,0,0.052632
spam,160,1,1,4,0.068702
ham,26,0,0,0,0
ham,56,0,0,0,0
ham,93,0,0,0,0.025974
ham,76,0,0,0,0.033898
ham,86,0,0,0,0.028571
ham,35,0,0,1,0.071429
ham,68,0,0,1,0.036364
ham,144,0,0,0,0.068376
ham,66,0,0,0,0.018182
ham,144,0,0,0,0.025
ham,32,0,0,0,0.038462
ham,26,0,0,0,0.041667
ham,96,0,0,0,0.039474
ham,78,0,0,0,0.043478
ham,160,0,0,0,0.031496
spam,152,1,1,1,0.09375
spam,122,1,0,2,0.292929
ham,49,0,0,0,0.076923
spam,158,1,1,4,0.062016
ham,42,0,0,0,0.027027
ham,36,0,0,1,0.033333
ham,95,0,0,0,0.025316
ham,9,0,0,0,0.125
ham,97,0,0,2,0.037037
ham,32,0,0,2,0.04
ham,48,0,0,0,0.04878
ham,57,0,0,1,0.022222
ham,64,0,0,1,0.150943
ham,23,0,0,0,0.045455
ham,69,0,0,1,0.017241
ham,72,0,0,0,0.034483
ham,58,0,0,0,0.020408
ham,158,0,0,0,0.03252
ham,26,0,0,0,0.045455
ham,28,0,0,0,0.043478
ham,149,0,0,0,0.016667
ham,276,0,0,0,0.05
ham,35,0,0,0,0.032258
spam,143,1,1,3,0.173554
ham,27,0,0,0,0.043478
ham,55,0,0,0,0.021277
ham,85,0,0,0,0.059701
ham,30,0,0,0,0.041667
ham,143,0,0,2,0.042735
ham,45,0,0,0,0.027778
ham,39,0,0,0,0.03125
ham,276,0,0,0,0.152778
ham,72,0,0,0,0.05
ham,109,0,0,0,0.011494
ham,139,0,0,0,0.04717
ham,88,0,0,0,0.042857
ham,72,0,0,0,0.070175
ham,124,0,0,0,0.029126
ham,32,0,0,2,0.038462
ham,39,0,0,1,0.064516
ham,84,0,0,0,0.029851
ham,125,0,0,1,0.979167
ham,179,0,0,1,0.020548
spam,158,1,0,6,0.067164
ham,45,0,0,1,0.054054
ham,32,0,0,0,0.076923
ham,46,0,0,0,0.054054
ham,89,0,0,1,0.014084
ham,82,0,0,0,0.015385
ham,95,0,0,0,0.04
ham,41,0,0,0,0.0625
ham,96,0,0,0,0.038961
ham,25,0,0,0,0.047619
spam,59,1,0,1,0
ham,49,0,0,0,0.948718
spam,127,0,0,0,0.027778
ham,46,0,0,0,0.025
ham,89,0,1,0,0.028169
ham,95,0,1,0,0.026316
spam,159,1,0,3,0.095588
ham,99,0,0,0,0.060976
ham,41,0,0,0,0.029412
ham,33,0,0,0,0.034483
ham,5,0,0,0,0.2
spam,151,1,1,3,0.00813
ham,22,0,0,0,0.052632
ham,70,0,0,0,0.018182
ham,98,0,0,0,0.025
ham,35,0,0,0,0.033333
ham,42,0,0,0,0.060606
ham,85,0,0,1,0.042253
ham,63,0,0,0,0.039216
ham,64,0,0,0,0.02
ham,69,0,0,0,0.072727
ham,53,0,0,0,0.025
spam,122,1,1,4,0.137255
ham,63,0,0,0,0.04
ham,106,0,0,0,0.049383
ham,60,0,0,0,0.022222
ham,64,0,0,0,0.018519
spam,90,1,0,1,0.092105
ham,133,0,0,1,0.018349
spam,90,1,0,0,0.226667
ham,66,0,0,0,0.037736
ham,25,0,0,0,0.285714
ham,29,0,0,0,0.04
spam,95,1,0,0,0.048193
ham,40,0,0,0,0.0625
ham,92,0,0,0,0.040541
ham,166,0,0,0,0.044444
ham,28,0,0,0,0.041667
ham,78,0,0,1,0.032787
ham,91,0,0,0,0.028571
ham,50,0,0,0,0.071429
ham,289,0,0,0,0.131356
ham,176,0,0,0,0.068493
spam,158,1,0,3,0.15748
ham,49,0,0,0,0.076923
ham,78,0,0,0,0.048387
ham,45,0,0,0,0.025641
ham,64,0,0,0,0.09434
ham,154,0,0,0,0.1875
ham,46,0,0,0,0.026316
ham,29,0,0,0,0.08
ham,70,0,0,0,0.016667
ham,26,0,0,0,0.047619
ham,160,0,0,0,0.023077
ham,158,0,0,0,0.04
ham,129,0,0,0,0.095238
ham,57,0,0,1,0.042553
spam,140,1,1,7,0.147826
ham,11,0,0,0,0.1
ham,42,0,0,0,0.117647
ham,48,0,0,0,0
ham,61,0,0,0,0.14
ham,46,0,0,0,0.026316
spam,157,1,0,3,0.113636
ham,24,0,0,0,0.05
ham,28,0,0,0,0.083333
ham,39,0,0,0,0.064516
ham,192,0,0,0,0.026144
ham,38,0,0,0,0.03125
ham,145,0,0,0,0.051724
ham,108,0,0,1,0.057471
spam,160,1,0,2,0.089552
ham,35,0,0,0,0.034483
ham,59,0,0,0,0.02
ham,79,0,0,1,0.031746
spam,157,0,1,6,0.1
ham,59,0,0,0,0.042553
ham,126,0,0,0,0.060606
ham,49,0,0,0,0.05
ham,136,0,0,0,0.026786
ham,34,0,0,0,0.08
ham,65,0,0,0,0.018182
ham,119,0,0,1,0.010417
spam,149,1,0,5,0.008264
ham,29,0,0,0,0.041667
ham,136,0,0,0,0.056075
ham,37,0,0,0,0
spam,138,0,0,3,0
ham,156,0,0,0,0.03125
ham,75,0,0,0,0.016949
ham,82,0,0,0,0.030769
spam,158,1,0,1,0.152672
ham,131,0,0,0,0.036036
ham,33,0,0,0,0.035714
ham,37,0,0,0,0.03125
ham,134,0,0,0,0.035088
ham,153,0,0,1,0.041667
ham,154,0,0,1,0.04918
ham,152,0,0,0,0.033333
ham,101,0,0,1,0.060241
ham,29,0,0,1,0.086957
ham,14,0,0,0,0.083333
ham,19,0,0,0,0.0625
ham,53,0,0,0,0.068182
ham,121,0,0,0,0.911765
ham,55,0,0,0,0.045455
ham,56,0,0,0,0.043478
ham,148,0,0,0,0.042735
ham,41,0,0,0,0.029412
spam,163,1,0,4,0.135714
ham,63,0,0,0,0.039216
ham,162,0,0,1,0.069231
ham,33,0,0,0,0.037037
ham,90,0,0,0,0.027778
ham,77,0,0,0,0.030769
ham,148,0,0,1,0
ham,55,0,0,0,0.044444
ham,30,0,0,0,0.076923
ham,24,0,0,0,0.047619
ham,24,0,0,0,0.045455
ham,46,0,0,0,0.027778
ham,55,0,0,0,0.023256
ham,134,0,0,0,0.045872
ham,69,0,0,0,0.017241
ham,37,0,0,0,0.034483
ham,123,0,0,0,0.049505
spam,49,1,0,1,0.047619
ham,26,0,0,0,0.041667
spam,159,1,1,4,0.159091
ham,78,0,0,0,0.03125
ham,53,0,0,0,0.045455
ham,157,0,0,3,0.041322
ham,63,0,0,0,0.039216
ham,24,0,0,0,0.05
ham,42,0,0,0,0.060606
ham,66,0,0,0,0.038462
ham,87,0,0,0,0.014493
ham,41,0,0,0,0.057143
ham,126,0,0,0,0.019418
ham,36,0,0,0,0.034483
spam,158,1,0,3,0.099237
spam,147,1,0,4,0.179487
ham,66,0,0,0,0.052632
ham,23,0,0,0,0.111111
ham,69,0,0,0,0
ham,92,0,0,0,0.013333
ham,19,0,0,0,0.066667
ham,145,0,0,1,0.168067
spam,106,1,0,1,0.077778
ham,38,0,0,0,0.034483
spam,157,1,1,4,0.023077
ham,66,0,0,2,0.039216
ham,132,1,0,0,0
ham,70,0,0,0,0.017544
ham,35,0,0,0,0.068965
spam,147,0,1,2,0.060345
ham,103,0,0,4,0.036585
ham,17,0,0,0,0.857143
ham,48,0,0,0,0.076923
ham,65,0,0,0,0.037037
ham,41,0,0,0,0.029412
ham,151,0,1,0,0.896825
ham,30,0,0,0,0.04
ham,155,0,0,0,0.11811
ham,96,0,0,0,0.012658
ham,30,0,0,0,0.08
spam,155,0,0,2,0.098485
ham,45,0,0,0,0.052632
spam,155,0,1,0,0.110236
spam,156,1,0,1,0.029851
ham,39,0,0,0,0.064516
ham,47,0,0,0,0.054054
ham,204,0,0,0,0.108571
spam,156,1,1,2,0.224806
ham,35,0,0,0,0.037037
ham,31,0,0,0,0.037037
ham,40,0,0,0,0.029412
ham,9,0,0,0,0.142857
ham,105,0,0,1,0.022988
spam,132,1,0,2,0.035714
ham,53,0,0,0,0.068182
ham,97,0,0,0,0.1
ham,41,0,0,2,0.058824
ham,28,0,0,0,0.043478
ham,71,0,0,0,0.052632
ham,25,0,0,1,0.047619
ham,48,0,0,0,0.02381
ham,81,0,1,0,0.028169
ham,30,0,0,0,0.038462
ham,34,0,0,0,0.035714
ham,41,0,0,0,0.030303
ham,38,0,0,0,0.064516
ham,116,0,0,0,0.022727
ham,54,0,0,0,0.046512
ham,112,0,0,1,0.05618
ham,50,0,0,0,0.025641
ham,90,0,0,0,0.053333
ham,88,0,0,0,0.013699
ham,126,0,0,1,0.019802
ham,34,0,0,0,0.166667
ham,2,0,0,0,0.5
ham,4,0,0,0,0.25
ham,43,0,0,0,0.055556
ham,87,0,0,0,0.411765
ham,42,0,0,0,0.055556
ham,111,0,0,1,0.012048
ham,39,0,0,0,0.0625
ham,141,0,0,0,0.034483
ham,43,0,0,1,0.027027
ham,10,0,0,0,0.1
ham,43,0,0,0,0.058824
spam,118,1,0,1,0.019418
ham,23,0,0,0,0.047619
ham,42,0,0,0,0.058824
ham,22,0,0,0,0.1
ham,148,0,0,0,0.113821
ham,112,0,0,0,0.043956
ham,91,0,0,0,0.040541
ham,42,0,0,0,0.090909
ham,151,0,0,1,0.184615
ham,67,0,0,0,0.035714
ham,33,0,0,1,0.071429
ham,43,0,0,0,0.055556
spam,119,1,1,2,0.042105
ham,113,0,0,0,0.053192
ham,132,0,0,0,0.04717
ham,35,0,0,0,0.931034
spam,162,1,1,6,0.015152
ham,115,0,0,0,0.031579
ham,25,0,0,0,0.05
ham,372,0,1,1,0.02027
ham,33,0,0,1,0.034483
ham,24,0,0,0,0.047619
ham,25,0,0,0,0.052632
ham,27,0,0,0,0.136364
ham,45,0,0,0,0.027778
ham,40,0,0,0,0.1
ham,22,0,0,0,0.055556
ham,234,0,0,1,0.020833
ham,163,0,0,1,0.348148
ham,53,0,0,0,0.044444
ham,33,0,0,1,0.038462
ham,54,0,0,0,0.023256
ham,32,0,0,0,0.037037
ham,68,0,0,1,0.053571
spam,158,1,0,6,0.061069
spam,159,1,1,1,0.090226
ham,69,0,0,0,0.055556
ham,92,0,0,0,0.027397
ham,24,0,0,0,0.05
ham,87,0,0,1,0.042253
ham,58,0,0,0,0.159091
ham,67,0,0,0,0.053571
ham,58,0,0,0,0.083333
spam,142,1,1,2,0.163934
ham,22,0,0,0,0.055556
ham,84,0,0,0,0.030769
ham,43,0,0,1,0.030303
ham,75,0,0,1,0.067797
spam,154,1,0,4,0.072581
ham,29,0,0,0,0.045455
spam,112,1,0,4,0.031579
ham,70,0,0,0,0.017241
ham,30,0,0,0,0.041667
ham,52,0,0,0,0.047619
ham,136,0,0,3,0.052174
spam,158,1,1,1,0.133333
ham,27,0,0,0,0
ham,59,0,0,0,0.044444
ham,24,0,0,1,0.05
ham,63,0,0,1,0.057692
spam,142,1,1,2,0.338843
ham,73,0,0,0,0.032258
ham,40,0,0,0,0.058824
ham,43,0,0,0,0.029412
ham,36,0,0,0,0.03125
ham,27,0,0,0,0.043478
ham,62,0,0,0,0.040816
ham,38,0,0,0,0.0625
spam,156,1,0,1,0.121212
ham,45,0,0,0,0.02439
ham,39,0,0,0,0.1875
ham,95,0,0,0,0.013158
ham,60,0,0,0,0.061225
ham,54,0,0,0,0.022727
ham,55,0,0,0,0.069767
ham,444,0,0,2,0.11828
ham,143,0,0,0,0.025641
ham,3,0,0,0,0.333333
ham,26,0,0,0,0.043478
spam,152,1,1,2,0.016
ham,78,0,0,0,0.030769
ham,31,0,0,1,0.04
spam,156,1,1,1,0.030303
ham,30,0,0,0,0.041667
spam,148,1,0,1,0.132812
ham,32,0,0,1,0.04
ham,37,0,0,0,0.1
ham,24,0,0,1,0.1
ham,73,0,0,1,0.017857
ham,33,0,0,0,0.076923
ham,22,0,0,1,0.105263
ham,48,0,0,0,0.026316
ham,88,0,0,0,0.041096
ham,65,0,0,0,0.035714
ham,71,0,0,0,0.122807
ham,48,0,0,0,0.025
ham,49,0,0,0,0.075
spam,162,1,0,1,0.47482
ham,22,0,0,1,0.105263
spam,128,0,0,2,0.047619
ham,112,0,0,0,0.047059
spam,145,1,0,1,0.041322
ham,26,0,0,1,0.045455
ham,144,0,0,0,0
ham,42,0,0,0,0.058824
ham,86,0,0,0,0.111111
ham,38,0,0,0,0.030303
ham,49,0,0,0,0.05
ham,92,0,0,0,0.025974
ham,82,0,0,0,0.045455
spam,124,0,0,0,0.010204
ham,27,0,0,0,0.045455
spam,134,1,0,1,0.172727
ham,37,0,0,0,0.033333
ham,29,0,0,0,0.037037
ham,156,0,0,0,0.088
ham,363,0,0,1,0.017123
spam,118,1,1,4,0.191919
ham,55,0,0,0,0.043478
ham,46,0,0,1,0.052632
ham,22,0,0,1,0.052632
ham,23,0,0,0,0.05
ham,38,0,0,1,0.064516
spam,125,1,1,2,0.138614
spam,158,1,1,5,0.218045
ham,159,0,0,0,0.041322
spam,159,1,0,2,0.175182
ham,39,0,0,0,0.028571
ham,45,0,0,0,0.028571
ham,131,0,0,1,0.039216
ham,138,0,0,0,0.895238
ham,53,0,0,0,0.068182
ham,68,0,0,1,0.035088
ham,79,0,0,0,0.015625
ham,28,0,0,1,0.086957
ham,24,0,0,0,0.05
spam,131,1,1,5,0.056075
ham,121,0,0,0,0.926316
ham,120,0,0,0,0.032258
ham,92,0,0,0,0.040541
spam,137,1,0,1,0.121739
ham,23,0,0,0,0.05
ham,38,0,0,0,0.032258
