@relation 'smsspam-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement'

@attribute numChars numeric
@attribute containsNumSequence {0,1}
@attribute containsCurrencySymbol {0,1}
@attribute percentUppercaseLetters numeric
@attribute containsURL {0,1}
@attribute numExclamationMark numeric
@attribute numAbbreviations numeric
@attribute class {ham,spam}

@data
158,0,0,0.962121,0,1,0,ham
22,0,0,0.055556,0,0,0,ham
42,0,0,0.9,0,2,0,ham
121,0,0,0.942857,0,1,0,ham
26,0,0,0,0,0,0,ham
63,0,0,0.039216,0,0,0,ham
244,0,0,0.020101,0,0,0,ham
135,1,0,0.126126,0,1,0,spam
28,0,0,0.043478,0,1,0,ham
44,0,0,0.027027,0,0,0,ham
159,1,1,0.19708,0,2,0,spam
34,0,0,0.037037,0,0,0,ham
38,0,0,0.096774,0,0,0,ham
42,0,0,0.028571,0,0,0,ham
68,0,0,0.928571,0,0,0,ham
51,0,0,0.04878,0,0,0,ham
75,0,0,0.016667,0,0,0,ham
66,0,0,0.056604,0,0,0,ham
26,0,0,0.043478,0,0,0,ham
159,1,0,0.3125,0,1,0,spam
18,0,0,0.066667,0,0,0,ham
138,0,0,0.035714,0,0,0,ham
59,0,0,0.06,0,0,0,ham
95,0,0,0.052632,0,0,0,ham
126,0,0,0.166667,0,1,0,ham
28,0,0,0.086957,0,0,0,ham
38,0,0,0,0,0,0,ham
35,0,0,0.066667,0,0,0,ham
70,0,0,0.052632,0,0,0,ham
149,0,0,0.008696,0,0,0,ham
60,0,0,0.04,0,0,0,ham
37,0,0,0.030303,0,0,0,ham
49,0,0,0,0,0,0,ham
158,1,0,0.155039,0,0,0,spam
181,0,0,0.02649,0,1,0,spam
61,0,0,0.06383,0,0,0,ham
157,0,0,0.015504,0,0,0,ham
32,0,0,0.074074,0,0,0,ham
136,0,0,0.052174,0,0,0,ham
89,0,0,0.055556,0,0,0,ham
144,1,1,0.305785,0,2,0,spam
40,0,0,0.032258,0,0,0,ham
28,0,0,0.086957,0,0,0,ham
139,0,0,0.027027,0,0,0,ham
36,0,0,0.034483,0,0,0,ham
54,0,0,0.386364,0,0,0,ham
156,0,0,0.048,0,0,0,ham
175,0,0,0.034483,0,0,1,ham
136,1,0,0.153153,0,1,0,spam
48,0,0,0.027778,0,0,0,ham
150,1,0,0.09375,0,0,0,spam
137,1,0,0.205128,0,0,0,spam
154,0,0,0.02439,0,0,0,ham
34,0,0,0,0,0,0,ham
5,0,0,0.2,0,0,0,ham
73,0,0,0.051724,0,0,0,ham
31,0,0,0.038462,0,0,1,ham
34,0,0,0.076923,0,0,0,ham
129,0,0,0.029412,0,2,0,ham
23,0,0,0.157895,0,0,0,ham
26,0,0,0.045455,0,0,0,ham
32,0,0,0.076923,0,0,0,ham
24,0,0,0.05,0,0,0,ham
40,0,0,0.060606,0,0,0,ham
115,0,0,0.034091,0,0,0,ham
32,0,0,0.08,0,0,0,ham
81,0,0,0.014925,0,0,0,ham
30,0,0,0.038462,0,0,0,ham
63,0,0,0.040816,0,0,0,ham
144,1,1,0.025424,0,1,0,spam
32,0,0,0.037037,0,0,0,ham
29,0,0,0,0,0,0,ham
27,0,0,0.090909,0,0,0,ham
136,1,0,0.153153,0,1,0,spam
143,1,0,0.04,0,1,0,spam
23,0,0,0.052632,0,0,0,ham
160,1,1,0.068702,0,1,0,spam
26,0,0,0,0,1,0,ham
56,0,0,0,0,1,0,ham
93,0,0,0.025974,0,0,0,ham
76,0,0,0.033898,0,0,0,ham
86,0,0,0.028571,0,0,0,ham
35,0,0,0.071429,0,0,0,ham
68,0,0,0.036364,0,0,0,ham
144,0,0,0.068376,0,0,0,ham
66,0,0,0.018182,0,0,0,ham
144,0,0,0.025,0,0,0,ham
32,0,0,0.038462,0,0,1,ham
26,0,0,0.041667,0,0,0,ham
96,0,0,0.039474,0,0,0,ham
78,0,0,0.043478,0,0,0,ham
160,0,0,0.031496,0,1,0,ham
152,1,1,0.09375,0,1,0,spam
122,1,0,0.292929,0,0,0,spam
49,0,0,0.076923,0,0,0,ham
158,1,1,0.062016,0,1,0,spam
42,0,0,0.027027,0,0,0,ham
36,0,0,0.033333,0,0,0,ham
95,0,0,0.025316,0,0,0,ham
9,0,0,0.125,0,0,0,ham
97,0,0,0.037037,0,1,0,ham
32,0,0,0.04,0,0,0,ham
48,0,0,0.04878,0,0,0,ham
57,0,0,0.022222,0,0,0,ham
64,0,0,0.150943,0,0,0,ham
23,0,0,0.045455,0,0,0,ham
69,0,0,0.017241,0,0,0,ham
72,0,0,0.034483,0,0,0,ham
58,0,0,0.020408,0,0,0,ham
158,0,0,0.03252,0,0,0,ham
26,0,0,0.045455,0,0,0,ham
28,0,0,0.043478,0,0,0,ham
149,0,0,0.016667,0,0,0,ham
276,0,0,0.05,0,0,0,ham
35,0,0,0.032258,0,0,0,ham
143,1,1,0.173554,0,1,0,spam
27,0,0,0.043478,0,0,0,ham
55,0,0,0.021277,0,0,0,ham
85,0,0,0.059701,0,2,0,ham
30,0,0,0.041667,0,0,0,ham
143,0,0,0.042735,0,0,0,ham
45,0,0,0.027778,0,0,0,ham
39,0,0,0.03125,0,0,0,ham
276,0,0,0.152778,0,2,0,ham
72,0,0,0.05,0,0,0,ham
109,0,0,0.011494,0,0,0,ham
139,0,0,0.04717,0,2,0,ham
88,0,0,0.042857,0,0,0,ham
72,0,0,0.070175,0,0,0,ham
124,0,0,0.029126,0,0,0,ham
32,0,0,0.038462,0,0,0,ham
39,0,0,0.064516,0,0,0,ham
84,0,0,0.029851,0,0,0,ham
125,0,0,0.979167,0,0,0,ham
179,0,0,0.020548,0,1,0,ham
158,1,0,0.067164,0,1,0,spam
45,0,0,0.054054,0,0,0,ham
32,0,0,0.076923,0,0,0,ham
46,0,0,0.054054,0,2,0,ham
89,0,0,0.014084,0,0,0,ham
82,0,0,0.015385,0,0,0,ham
95,0,0,0.04,0,0,0,ham
41,0,0,0.0625,0,0,0,ham
96,0,0,0.038961,0,0,0,ham
25,0,0,0.047619,0,0,0,ham
59,1,0,0,0,0,0,spam
49,0,0,0.948718,0,0,0,ham
127,0,0,0.027778,1,0,0,spam
46,0,0,0.025,0,0,0,ham
89,0,1,0.028169,0,0,0,ham
95,0,1,0.026316,0,0,0,ham
159,1,0,0.095588,0,0,0,spam
99,0,0,0.060976,0,0,0,ham
41,0,0,0.029412,0,0,0,ham
33,0,0,0.034483,0,0,0,ham
5,0,0,0.2,0,0,0,ham
151,1,1,0.00813,0,0,0,spam
22,0,0,0.052632,0,0,0,ham
70,0,0,0.018182,0,0,0,ham
98,0,0,0.025,0,0,0,ham
35,0,0,0.033333,0,0,0,ham
42,0,0,0.060606,0,0,0,ham
85,0,0,0.042253,0,1,0,ham
63,0,0,0.039216,0,0,0,ham
64,0,0,0.02,0,0,0,ham
69,0,0,0.072727,0,0,0,ham
53,0,0,0.025,0,0,1,ham
122,1,1,0.137255,0,0,0,spam
63,0,0,0.04,0,1,0,ham
106,0,0,0.049383,0,0,0,ham
60,0,0,0.022222,0,0,0,ham
64,0,0,0.018519,0,0,0,ham
90,1,0,0.092105,0,0,0,spam
133,0,0,0.018349,0,2,0,ham
90,1,0,0.226667,0,1,0,spam
66,0,0,0.037736,0,0,0,ham
25,0,0,0.285714,0,1,0,ham
29,0,0,0.04,0,0,0,ham
95,1,0,0.048193,0,4,0,spam
40,0,0,0.0625,0,0,0,ham
92,0,0,0.040541,0,0,0,ham
166,0,0,0.044444,0,0,0,ham
28,0,0,0.041667,0,0,0,ham
78,0,0,0.032787,0,0,0,ham
91,0,0,0.028571,0,1,0,ham
50,0,0,0.071429,0,0,0,ham
289,0,0,0.131356,0,0,0,ham
176,0,0,0.068493,0,0,0,ham
158,1,0,0.15748,0,0,0,spam
49,0,0,0.076923,0,1,0,ham
78,0,0,0.048387,0,0,0,ham
45,0,0,0.025641,0,0,0,ham
64,0,0,0.09434,0,1,0,ham
154,0,0,0.1875,0,0,0,ham
46,0,0,0.026316,0,0,0,ham
29,0,0,0.08,0,0,0,ham
70,0,0,0.016667,0,0,0,ham
26,0,0,0.047619,0,0,0,ham
160,0,0,0.023077,0,0,0,ham
158,0,0,0.04,0,0,0,ham
129,0,0,0.095238,0,0,0,ham
57,0,0,0.042553,0,0,0,ham
140,1,1,0.147826,0,0,0,spam
11,0,0,0.1,0,1,0,ham
42,0,0,0.117647,0,1,0,ham
48,0,0,0,0,0,0,ham
61,0,0,0.14,0,0,0,ham
46,0,0,0.026316,0,0,0,ham
157,1,0,0.113636,0,1,0,spam
24,0,0,0.05,0,0,0,ham
28,0,0,0.083333,0,0,0,ham
39,0,0,0.064516,0,0,0,ham
192,0,0,0.026144,0,0,0,ham
38,0,0,0.03125,0,0,0,ham
145,0,0,0.051724,0,0,0,ham
108,0,0,0.057471,0,0,0,ham
160,1,0,0.089552,0,4,0,spam
35,0,0,0.034483,0,0,0,ham
59,0,0,0.02,0,0,0,ham
79,0,0,0.031746,0,0,0,ham
157,0,1,0.1,0,0,0,spam
59,0,0,0.042553,0,1,0,ham
126,0,0,0.060606,0,1,0,ham
49,0,0,0.05,0,0,0,ham
136,0,0,0.026786,0,2,0,ham
34,0,0,0.08,0,0,0,ham
65,0,0,0.018182,0,0,0,ham
119,0,0,0.010417,0,0,0,ham
149,1,0,0.008264,0,0,0,spam
29,0,0,0.041667,0,0,0,ham
136,0,0,0.056075,0,11,0,ham
37,0,0,0,0,0,0,ham
138,0,0,0,0,0,0,spam
156,0,0,0.03125,0,1,0,ham
75,0,0,0.016949,0,0,0,ham
82,0,0,0.030769,0,0,0,ham
158,1,0,0.152672,0,1,0,spam
131,0,0,0.036036,0,0,0,ham
33,0,0,0.035714,0,0,0,ham
37,0,0,0.03125,0,0,0,ham
134,0,0,0.035088,0,0,0,ham
153,0,0,0.041667,0,0,0,ham
154,0,0,0.04918,0,1,0,ham
152,0,0,0.033333,0,0,0,ham
101,0,0,0.060241,0,0,0,ham
29,0,0,0.086957,0,0,0,ham
14,0,0,0.083333,0,0,0,ham
19,0,0,0.0625,0,0,0,ham
53,0,0,0.068182,0,0,0,ham
121,0,0,0.911765,0,1,0,ham
55,0,0,0.045455,0,0,0,ham
56,0,0,0.043478,0,0,0,ham
148,0,0,0.042735,0,0,0,ham
41,0,0,0.029412,0,0,0,ham
163,1,0,0.135714,0,2,0,spam
63,0,0,0.039216,0,0,0,ham
162,0,0,0.069231,0,0,0,ham
33,0,0,0.037037,0,0,0,ham
90,0,0,0.027778,0,0,0,ham
77,0,0,0.030769,0,0,0,ham
148,0,0,0,0,0,0,ham
55,0,0,0.044444,0,1,0,ham
30,0,0,0.076923,0,0,0,ham
24,0,0,0.047619,0,0,0,ham
24,0,0,0.045455,0,0,0,ham
46,0,0,0.027778,0,0,0,ham
55,0,0,0.023256,0,0,0,ham
134,0,0,0.045872,0,5,0,ham
69,0,0,0.017241,0,0,0,ham
37,0,0,0.034483,0,0,0,ham
123,0,0,0.049505,0,0,0,ham
49,1,0,0.047619,0,0,0,spam
26,0,0,0.041667,0,0,0,ham
159,1,1,0.159091,0,1,0,spam
78,0,0,0.03125,0,0,0,ham
53,0,0,0.045455,0,0,0,ham
157,0,0,0.041322,0,0,0,ham
63,0,0,0.039216,0,0,0,ham
24,0,0,0.05,0,0,0,ham
42,0,0,0.060606,0,0,0,ham
66,0,0,0.038462,0,0,0,ham
87,0,0,0.014493,0,0,0,ham
41,0,0,0.057143,0,0,0,ham
126,0,0,0.019418,0,0,0,ham
36,0,0,0.034483,0,0,0,ham
158,1,0,0.099237,0,2,0,spam
147,1,0,0.179487,0,2,0,spam
66,0,0,0.052632,0,0,0,ham
23,0,0,0.111111,0,0,0,ham
69,0,0,0,0,0,0,ham
92,0,0,0.013333,0,0,0,ham
19,0,0,0.066667,0,0,0,ham
145,0,0,0.168067,0,1,0,ham
106,1,0,0.077778,0,1,0,spam
38,0,0,0.034483,0,0,0,ham
157,1,1,0.023077,0,0,0,spam
66,0,0,0.039216,0,0,0,ham
132,1,0,0,0,0,0,ham
70,0,0,0.017544,0,0,0,ham
35,0,0,0.068965,0,0,0,ham
147,0,1,0.060345,0,2,0,spam
103,0,0,0.036585,0,0,0,ham
17,0,0,0.857143,0,0,0,ham
48,0,0,0.076923,0,0,0,ham
65,0,0,0.037037,0,0,0,ham
41,0,0,0.029412,0,0,0,ham
151,0,1,0.896825,0,0,0,ham
30,0,0,0.04,0,0,0,ham
155,0,0,0.11811,0,0,0,ham
96,0,0,0.012658,0,1,0,ham
30,0,0,0.08,0,0,0,ham
155,0,0,0.098485,0,0,0,spam
45,0,0,0.052632,0,0,1,ham
155,0,1,0.110236,0,0,0,spam
156,1,0,0.029851,0,0,0,spam
39,0,0,0.064516,0,0,0,ham
47,0,0,0.054054,0,0,0,ham
204,0,0,0.108571,0,0,0,ham
156,1,1,0.224806,0,1,0,spam
35,0,0,0.037037,0,0,0,ham
31,0,0,0.037037,0,0,0,ham
40,0,0,0.029412,0,0,0,ham
9,0,0,0.142857,0,0,0,ham
105,0,0,0.022988,0,0,0,ham
132,1,0,0.035714,0,0,0,spam
53,0,0,0.068182,0,0,0,ham
97,0,0,0.1,0,0,0,ham
41,0,0,0.058824,0,0,0,ham
28,0,0,0.043478,0,0,0,ham
71,0,0,0.052632,0,0,0,ham
25,0,0,0.047619,0,0,0,ham
48,0,0,0.02381,0,0,0,ham
81,0,1,0.028169,0,3,0,ham
30,0,0,0.038462,0,0,0,ham
34,0,0,0.035714,0,0,0,ham
41,0,0,0.030303,0,0,0,ham
38,0,0,0.064516,0,0,0,ham
116,0,0,0.022727,0,0,0,ham
54,0,0,0.046512,0,0,0,ham
112,0,0,0.05618,0,0,0,ham
50,0,0,0.025641,0,0,0,ham
90,0,0,0.053333,0,0,0,ham
88,0,0,0.013699,0,0,0,ham
126,0,0,0.019802,0,0,0,ham
34,0,0,0.166667,0,0,0,ham
2,0,0,0.5,0,0,0,ham
4,0,0,0.25,0,0,0,ham
43,0,0,0.055556,0,1,0,ham
87,0,0,0.411765,0,0,0,ham
42,0,0,0.055556,0,0,0,ham
111,0,0,0.012048,0,0,0,ham
39,0,0,0.0625,0,0,0,ham
141,0,0,0.034483,0,2,0,ham
43,0,0,0.027027,0,0,0,ham
10,0,0,0.1,0,0,0,ham
43,0,0,0.058824,0,0,0,ham
118,1,0,0.019418,0,0,0,spam
23,0,0,0.047619,0,0,0,ham
42,0,0,0.058824,0,0,1,ham
22,0,0,0.1,0,0,0,ham
148,0,0,0.113821,0,2,0,ham
112,0,0,0.043956,0,0,0,ham
91,0,0,0.040541,0,0,0,ham
42,0,0,0.090909,0,0,0,ham
151,0,0,0.184615,0,0,0,ham
67,0,0,0.035714,0,0,0,ham
33,0,0,0.071429,0,0,0,ham
43,0,0,0.055556,0,0,0,ham
119,1,1,0.042105,0,0,0,spam
113,0,0,0.053192,0,0,0,ham
132,0,0,0.04717,0,0,0,ham
35,0,0,0.931034,0,2,0,ham
162,1,1,0.015152,0,0,0,spam
115,0,0,0.031579,0,0,0,ham
25,0,0,0.05,0,0,0,ham
372,0,1,0.02027,0,0,0,ham
33,0,0,0.034483,0,0,0,ham
24,0,0,0.047619,0,0,0,ham
25,0,0,0.052632,0,0,0,ham
27,0,0,0.136364,0,2,0,ham
45,0,0,0.027778,0,0,0,ham
40,0,0,0.1,0,0,0,ham
22,0,0,0.055556,0,0,0,ham
234,0,0,0.020833,0,0,0,ham
163,0,0,0.348148,0,0,0,ham
53,0,0,0.044444,0,0,0,ham
33,0,0,0.038462,0,0,0,ham
54,0,0,0.023256,0,0,0,ham
32,0,0,0.037037,0,0,0,ham
68,0,0,0.053571,0,0,0,ham
158,1,0,0.061069,0,0,0,spam
159,1,1,0.090226,0,0,0,spam
69,0,0,0.055556,0,0,0,ham
92,0,0,0.027397,0,0,0,ham
24,0,0,0.05,0,0,0,ham
87,0,0,0.042253,0,0,0,ham
58,0,0,0.159091,0,0,0,ham
67,0,0,0.053571,0,0,0,ham
58,0,0,0.083333,0,0,0,ham
142,1,1,0.163934,0,2,0,spam
22,0,0,0.055556,0,0,0,ham
84,0,0,0.030769,0,0,0,ham
43,0,0,0.030303,0,0,0,ham
75,0,0,0.067797,0,1,0,ham
154,1,0,0.072581,0,1,0,spam
29,0,0,0.045455,0,0,0,ham
112,1,0,0.031579,0,0,0,spam
70,0,0,0.017241,0,0,0,ham
30,0,0,0.041667,0,0,0,ham
52,0,0,0.047619,0,0,0,ham
136,0,0,0.052174,0,0,0,ham
158,1,1,0.133333,0,2,0,spam
27,0,0,0,0,0,0,ham
59,0,0,0.044444,0,0,0,ham
24,0,0,0.05,0,0,0,ham
63,0,0,0.057692,0,0,0,ham
142,1,1,0.338843,0,2,0,spam
73,0,0,0.032258,0,0,0,ham
40,0,0,0.058824,0,2,0,ham
43,0,0,0.029412,0,0,0,ham
36,0,0,0.03125,0,0,0,ham
27,0,0,0.043478,0,0,0,ham
62,0,0,0.040816,0,0,0,ham
38,0,0,0.0625,0,0,0,ham
156,1,0,0.121212,0,2,0,spam
45,0,0,0.02439,0,0,0,ham
39,0,0,0.1875,0,0,0,ham
95,0,0,0.013158,0,0,0,ham
60,0,0,0.061225,0,0,0,ham
54,0,0,0.022727,0,0,0,ham
55,0,0,0.069767,0,0,0,ham
444,0,0,0.11828,0,0,0,ham
143,0,0,0.025641,0,1,0,ham
3,0,0,0.333333,0,0,0,ham
26,0,0,0.043478,0,0,0,ham
152,1,1,0.016,0,0,0,spam
78,0,0,0.030769,0,0,0,ham
31,0,0,0.04,0,0,0,ham
156,1,1,0.030303,0,0,0,spam
30,0,0,0.041667,0,0,0,ham
148,1,0,0.132812,0,1,0,spam
32,0,0,0.04,0,1,0,ham
37,0,0,0.1,0,0,0,ham
24,0,0,0.1,0,0,0,ham
73,0,0,0.017857,0,0,0,ham
33,0,0,0.076923,0,0,0,ham
22,0,0,0.105263,0,0,0,ham
48,0,0,0.026316,0,0,0,ham
88,0,0,0.041096,0,0,0,ham
65,0,0,0.035714,0,0,0,ham
71,0,0,0.122807,0,0,0,ham
48,0,0,0.025,0,0,0,ham
49,0,0,0.075,0,0,0,ham
162,1,0,0.47482,0,0,0,spam
22,0,0,0.105263,0,0,0,ham
128,0,0,0.047619,0,2,0,spam
112,0,0,0.047059,0,1,0,ham
145,1,0,0.041322,0,0,0,spam
26,0,0,0.045455,0,0,0,ham
144,0,0,0,0,0,0,ham
42,0,0,0.058824,0,0,0,ham
86,0,0,0.111111,0,0,0,ham
38,0,0,0.030303,0,0,1,ham
49,0,0,0.05,0,0,0,ham
92,0,0,0.025974,0,0,0,ham
82,0,0,0.045455,0,0,0,ham
124,0,0,0.010204,0,0,0,spam
27,0,0,0.045455,0,0,0,ham
134,1,0,0.172727,0,1,0,spam
37,0,0,0.033333,0,0,0,ham
29,0,0,0.037037,0,0,0,ham
156,0,0,0.088,0,2,0,ham
363,0,0,0.017123,0,0,0,ham
118,1,1,0.191919,0,2,0,spam
55,0,0,0.043478,0,0,0,ham
46,0,0,0.052632,0,0,0,ham
22,0,0,0.052632,0,0,0,ham
23,0,0,0.05,0,0,0,ham
38,0,0,0.064516,0,0,0,ham
125,1,1,0.138614,0,1,0,spam
158,1,1,0.218045,0,4,0,spam
159,0,0,0.041322,0,0,0,ham
159,1,0,0.175182,0,0,0,spam
39,0,0,0.028571,0,0,0,ham
45,0,0,0.028571,0,0,0,ham
131,0,0,0.039216,0,1,0,ham
138,0,0,0.895238,0,3,0,ham
53,0,0,0.068182,0,0,0,ham
68,0,0,0.035088,0,0,0,ham
79,0,0,0.015625,0,0,0,ham
28,0,0,0.086957,0,0,0,ham
24,0,0,0.05,0,0,0,ham
131,1,1,0.056075,0,0,0,spam
121,0,0,0.926316,0,0,0,ham
120,0,0,0.032258,0,0,0,ham
92,0,0,0.040541,0,0,0,ham
137,1,0,0.121739,0,1,0,spam
23,0,0,0.05,0,0,0,ham
38,0,0,0.032258,0,1,0,ham
